version_id,effective_from,service,award,employment_type,classification,classification_order,rate_band,rate_band_order,rate
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Full Time,Level 5,5,SAT_FLAT,4,44.69
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Part Time,Level 5,5,SAT_FLAT,4,44.69
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Casual,Level 5,5,SUN_FLAT,5,67.03
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Full Time,Level 5,5,SUN_FLAT,5,59.58
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Part Time,Level 5,5,SUN_FLAT,5,59.58
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Casual,Level 5,5,PH_FLAT,6,81.92
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Full Time,Level 5,5,PH_FLAT,6,74.48
SEC_2025_JUL,01-07-2025,Security,Security Services Award,Part Time,Level 5,5,PH_FLAT,6,74.48
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Casual,Level 1,1,PH_FLAT,6,71.09
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Casual,Level 1,1,SAT_FLAT,4,45.24
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Casual,Level 1,1,SUN_FLAT,5,58.16
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Casual,Level 1,1,WKDAY_DAY,1,32.31
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Casual,Level 1,1,WKDAY_EMAFT,2,36.19
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Casual,Level 1,1,WKDAY_PERM_NIGHT,3,40.07
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Casual,Level 2,2,PH_FLAT,6,73.43
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Casual,Level 2,2,SAT_FLAT,4,46.73
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Casual,Level 2,2,SUN_FLAT,5,60.08
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Casual,Level 2,2,WKDAY_DAY,1,33.38
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Casual,Level 2,2,WKDAY_PENALTY,2,37.38
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Casual,Level 2,2,WKDAY_PERM_NIGHT,3,41.39
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Casual,Level 3,3,PH_FLAT,6,77.33
